TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDefWins,,,,,,,,,,,,,
Northern Illinois,344,508,1920,350,207,2627,10,7,258,469,1693,392,219,2766,23,42,9,9,9,9,9,9,9,9,9,9,9,9,9
Northwestern,218,547,2402,320,171,2063,13,11,298,486,2045,376,223,2906,12,21,4,4,4,4,4,4,4,4,4,4,4,4,
Notre Dame,243,472,1887,411,195,2149,19,7,315,486,1526,337,194,2556,13,0,4,4,4,4,4,4,4,4,4,4,4,4,
Ohio State,271,454,1491,342,197,2490,11,11,201,383,726,463,278,2755,14,16,8,8,8,8,8,8,8,8,8,8,8,8,8
Oklahoma,567,506,2002,442,285,3996,9,6,193,422,1426,395,204,1897,20,20,11,11,11,11,11,11,11,11,11,11,11,11,
Oklahoma State,391,485,2721,317,170,2254,13,10,301,494,1889,406,225,2875,17,48,10,10,10,10,10,10,10,10,10,10,10,10,
Oregon,295,465,1638,383,214,2912,12,14,317,398,1151,464,241,3207,12,31,8,8,8,8,8,8,8,8,8,8,8,8,
Oregon State,364,491,1600,492,247,3879,24,12,287,413,1091,444,196,2535,19,14,6,6,6,6,6,6,6,6,6,6,6,6,
Penn State,219,397,1464,396,198,2296,10,12,255,585,2509,311,160,1840,10,14,3,3,3,3,3,3,3,3,3,3,3,3,
Purdue,306,523,1877,384,234,2682,6,9,192,420,1147,384,195,2346,14,16,8,8,8,8,8,8,8,8,8,8,8,8,
Rice,319,687,3800,128,61,964,10,13,378,498,2491,382,234,2697,8,24,7,7,7,7,7,7,7,7,7,7,7,7,7
San Diego State,211,413,1470,442,241,2609,17,12,207,468,1554,345,176,1923,12,13,7,7,7,7,7,7,7,7,7,7,7,7,
South Florida,249,424,1433,346,168,1957,12,14,224,494,1493,352,173,1979,13,27,7,7,7,7,7,7,7,7,7,7,7,7,
Southern Miss,276,493,1518,325,175,2493,13,11,209,511,1920,345,181,2138,13,17,8,8,8,8,8,8,8,8,8,8,8,8,
Syracuse,300,509,2273,311,186,2164,8,11,301,457,1658,395,237,2666,17,20,7,7,7,7,7,7,7,7,7,7,7,7,
Temple,215,415,1439,444,234,2697,12,6,393,520,2433,340,215,2724,11,20,1,1,1,1,1,1,1,1,1,1,1,1,
Tennessee,317,437,1762,366,207,2650,9,9,212,456,1645,374,208,2173,14,34,6,6,6,6,6,6,6,6,6,6,6,6,
Texas,485,547,2892,281,166,2490,9,15,252,508,1826,322,149,2102,13,28,7,7,7,7,7,7,7,7,7,7,7,7,
Texas A+M,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Texas Christian,332,602,2420,320,184,2667,10,10,242,414,1101,388,199,3000,16,17,10,10,10,10,10,10,10,10,10,10,10,10,
Texas State,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Texas-San Antonio,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Toledo,340,452,2214,423,298,3339,8,6,285,465,1801,399,252,2858,15,49,9,9,9,9,9,9,9,9,9,9,9,9,
Troy,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
U-A-B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
U.C.L.A.,233,430,1127,399,215,2543,14,17,288,429,1364,396,237,2476,18,6,6,6,6,6,6,6,6,6,6,6,6,6,
